DRUG_ID,Drug_Name,N_Colon,N_Other,Mean_LN_IC50_Colon,Mean_LN_IC50_Other,Diff_Colon_vs_Other,MannWhitney_p,Bonferroni_Sig,Bonferroni_Threshold,LogP
1372,Trametinib,47,919,-2.0532084468085103,0.3336146637649619,-2.3868231105734723,1.8366939407419965e-12,True,0.00016949152542372882,11.735963206743122
1060,PD0325901,47,921,-0.6405057872340425,1.4461096818675354,-2.086615469101578,5.8494099010597514e-12,True,0.00016949152542372882,11.232887944112678
1564,SCH772984,47,917,0.8282730212765959,2.5826435736095967,-1.7543705523330009,1.106200189895636e-10,True,0.00016949152542372882,9.956166271313771
1014,Refametinib,46,901,0.624450652173913,2.356424865704773,-1.7319742135308598,2.715109021749196e-10,True,0.00016949152542372882,9.566212727182508
1062,Selumetinib,46,903,1.8995501739130434,3.3868090996677735,-1.4872589257547302,1.2142090433830632e-09,True,0.00016949152542372882,8.915706536842137
1908,Ulixertinib,45,913,1.6263496222222222,2.858295309967141,-1.2319456877449186,3.341449346109314e-09,True,0.00016949152542372882,8.47606511807222
2096,VX-11e,44,910,1.5040211363636364,2.7674669615384615,-1.263445825174825,5.589939882691622e-09,True,0.00016949152542372882,8.252592862731769
1736,Selumetinib,45,672,2.442459755555556,4.018135669642858,-1.5756759140873018,1.628617362041848e-08,True,0.00016949152542372882,7.7881809396777895
1594,OSI-027,47,913,3.7850108297872342,2.5231065618838993,1.261904267903335,1.9589340761324072e-08,True,0.00016949152542372882,7.707980179040314
1194,SB505124,46,219,2.5054123043478262,3.901586849315069,-1.3961745449672427,3.3492650837727213e-08,True,0.00016949152542372882,7.475050478060687
1268,XAV939,47,846,4.925551382978724,4.253013728132387,0.6725376548463364,3.9733070922915423e-07,True,0.00016949152542372882,6.400847867531204
1941,Sepantronium bromide,45,913,-2.7674501777777776,-4.238765926615553,1.4713157488377755,5.337314794140232e-07,True,0.00016949152542372882,6.272677181808312
1709,CDK9_5038,45,671,-0.9239313111111109,-2.2145024083457527,1.2905710972346418,6.143600036340964e-07,True,0.00016949152542372882,6.211577065708344
1809,Teniposide,45,672,1.8456260222222223,0.37972073660714284,1.4659052856150794,8.770632866988261e-07,True,0.00016949152542372882,6.05696906789687
1733,ULK1_4989,45,670,3.6741405111111103,2.247157213432836,1.4269832976782744,1.0091608058318135e-06,True,0.00016949152542372882,5.996039625119892
1845,Schweinfurthin A,45,671,2.664028822222222,0.9931629850968704,1.6708658371253515,3.074651309419972e-06,True,0.00016949152542372882,5.51220412963862
1810,Mitoxantrone,45,672,2.0125264888888887,0.4075828452380953,1.6049436436507936,3.7960267530036263e-06,True,0.00016949152542372882,5.420670735485813
1017,Olaparib,47,920,5.018818,4.18934552173913,0.8294724782608691,5.422192411410037e-06,True,0.00016949152542372882,5.265825075148938
1250,AZ960,47,845,3.021338404255319,1.833058300591716,1.188280103663603,8.249173932002995e-06,True,0.00016949152542372882,5.083589539296746
1576,IWP-2,47,846,3.400647808510638,2.8410931052009456,0.5595547033096926,1.9532073693464087e-05,True,0.00016949152542372882,4.709251645815089
1177,Niraparib,47,847,5.0326637021276595,4.062826970484061,0.9698367316435981,2.281660333486829e-05,True,0.00016949152542372882,4.641749007714463
