Gene,ANOVA_F_Score,CV_Selection_Frequency
MCM10,886.2756544812243,5
NCAPH,849.649043451259,5
EXO1,836.4893554023271,5
MTFR2,827.0467132320521,5
ORC1,792.0376115541203,5
FANCI,790.8324188088166,5
CENPN,782.4269165445507,5
NCAPD3,776.6162854478107,5
CHEK1,769.8458523505105,5
AUNIP,759.0410921603409,5
PLK4,751.6204706612683,5
FBXO5,750.7855969836818,5
POLE2,744.7906175090408,5
CCNF,737.666211126826,5
OIP5,734.686226686171,5
NEMP1,733.8166400975047,5
PRIM1,731.573962791233,5
CHEK2,729.7501018538771,5
NEIL3,728.7866897676992,5
NUSAP1,728.2091935931907,5
