gene,selection_frequency
KIF23,1.0
DNA2,0.9666666666666667
MCM3,0.9666666666666667
DDIAS,0.9333333333333333
SNRPB,0.9
KIF4A,0.8666666666666667
SNRNP25,0.8333333333333334
RACGAP1,0.7666666666666667
PTTG1,0.7666666666666667
ORC1,0.7666666666666667
RAD54B,0.7333333333333333
RRM2,0.7
SLC35F6///CENPA,0.6666666666666666
CDCA2,0.6666666666666666
KIF20A,0.6666666666666666
HIST1H2AC,0.6333333333333333
MIR1292///SNORD110///SNORD86///SNORD57///NOP56,0.6333333333333333
MAGEA11,0.6333333333333333
FASTKD5,0.6333333333333333
TPX2,0.6
FAM3B,0.6
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,0.6
E2F8,0.6
VPS28,0.6
IDH3B,0.5666666666666667
PLK1,0.5666666666666667
CCNA2,0.5666666666666667
CDCA3,0.5666666666666667
NFE2L2///CSNK2A1,0.5666666666666667
MAT2A,0.5333333333333333
AHCTF1P1///AHCTF1,0.4666666666666667
SPC25,0.4666666666666667
EXO1,0.4666666666666667
LOC100288637///ARHGAP11B,0.43333333333333335
TRMT6,0.43333333333333335
NCAPD2,0.43333333333333335
NEMP1,0.43333333333333335
MYBL2,0.43333333333333335
HAT1,0.43333333333333335
KIF15,0.4
CENPA,0.4
WEE1,0.4
DDX39A,0.4
FBXW8,0.4
RDM1,0.4
KIFC1,0.4
KIAA0101,0.36666666666666664
FIGNL1,0.36666666666666664
FEN1,0.36666666666666664
SPAG5,0.36666666666666664
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2,0.36666666666666664
FAM72A///FAM72D///FAM72B///FAM72C,0.36666666666666664
C2orf47,0.36666666666666664
CCNF,0.3333333333333333
CXCL6,0.3333333333333333
PBK,0.3333333333333333
ODC1,0.3333333333333333
IMMT,0.3333333333333333
ACADVL,0.3333333333333333
CALB2,0.3333333333333333
CTSV,0.3333333333333333
SULT1C2,0.3333333333333333
KIF22,0.3333333333333333
POU5F1P3,0.3
PRUNE2,0.3
LBR,0.3
HIST2H2BE,0.3
LMNB1,0.3
NCAPH,0.3
NEK2,0.3
LOC728554///THOC3,0.3
CPSF3,0.3
SPATA20,0.3
FUT4,0.3
RNASEH2A,0.3
RMI2,0.3
FOXM1,0.3
CSNK2A1,0.26666666666666666
POLE2,0.26666666666666666
BARD1,0.26666666666666666
LARS2,0.26666666666666666
GTF2H2C///GTF2H2B///GTF2H2,0.26666666666666666
HMMR,0.26666666666666666
HNRNPF,0.26666666666666666
BORA,0.26666666666666666
KIF18B,0.26666666666666666
NUP35,0.26666666666666666
GNAI1,0.26666666666666666
SKA1,0.26666666666666666
GMNN,0.26666666666666666
MIR1908///FADS1,0.23333333333333334
IRX2,0.23333333333333334
NUDT1,0.23333333333333334
PLK4,0.23333333333333334
OIP5,0.23333333333333334
PTPN20,0.23333333333333334
DEPDC1B,0.23333333333333334
DDX46,0.23333333333333334
RFC4,0.23333333333333334
CYB5R2,0.23333333333333334
UTP15,0.23333333333333334
MCM10,0.23333333333333334
ZWILCH,0.23333333333333334
XIST,0.2
MCM8,0.2
CSTF2,0.2
UBE2C,0.2
CENPW,0.2
RNASEH1,0.2
MMP3,0.2
KLK11,0.2
MSH6,0.2
TMEM38A,0.2
HENMT1,0.2
CKAP2L,0.2
GINS1,0.2
HOXB2,0.2
GLO1,0.2
FERMT1,0.2
SYAP1,0.2
CENPE,0.2
AK6,0.2
SLC44A5,0.2
SMIM24,0.2
ARSE,0.16666666666666666
CXCL5,0.16666666666666666
KIAA1324L,0.16666666666666666
NARS2,0.16666666666666666
MGME1,0.16666666666666666
LOC105371809,0.16666666666666666
CDC25B,0.16666666666666666
HOTAIRM1,0.16666666666666666
TOPBP1,0.16666666666666666
ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,0.16666666666666666
BCOR,0.16666666666666666
OAT,0.16666666666666666
PRIM1,0.16666666666666666
CDKN3,0.16666666666666666
TIMM10,0.16666666666666666
NUP160,0.16666666666666666
MMP12,0.16666666666666666
NCAPD3,0.16666666666666666
ATAD5,0.16666666666666666
SIDT1,0.16666666666666666
KPNA2,0.16666666666666666
MSH2,0.16666666666666666
DNMT1,0.16666666666666666
TRPM2,0.16666666666666666
CENPH,0.16666666666666666
C1orf131,0.16666666666666666
FANCI,0.16666666666666666
FAM64A,0.16666666666666666
NDUFA9,0.16666666666666666
IRF8,0.16666666666666666
EIF1AY,0.16666666666666666
ASB9,0.13333333333333333
LOC100288152,0.13333333333333333
USP9Y,0.13333333333333333
MELK,0.13333333333333333
UHRF1,0.13333333333333333
MEST,0.13333333333333333
DARS2,0.13333333333333333
LOC100505938,0.13333333333333333
POLD2,0.13333333333333333
ARL6IP1,0.13333333333333333
PSMF1,0.13333333333333333
NUP98,0.13333333333333333
NSFL1C,0.13333333333333333
HJURP,0.13333333333333333
UTP20,0.13333333333333333
NUP107,0.13333333333333333
TPST2,0.13333333333333333
PSMD1,0.13333333333333333
HS6ST2,0.13333333333333333
USP1,0.13333333333333333
NCAPG2,0.13333333333333333
NPM1,0.13333333333333333
BLNK,0.13333333333333333
FN3KRP,0.13333333333333333
IGF2BP3,0.13333333333333333
TROAP,0.13333333333333333
FBXO5,0.13333333333333333
FAM83D,0.13333333333333333
RBP2,0.13333333333333333
CEP76,0.13333333333333333
AIFM1,0.13333333333333333
DUSP5,0.13333333333333333
DTL,0.13333333333333333
DCTPP1,0.13333333333333333
STAP2,0.13333333333333333
NCAPG,0.13333333333333333
RPS21,0.13333333333333333
DDX1,0.13333333333333333
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,0.13333333333333333
HOXA13,0.13333333333333333
HSPE1-MOB4///MOB4,0.13333333333333333
IER3,0.13333333333333333
CDC6,0.13333333333333333
RAD51AP1,0.13333333333333333
SNRPA1,0.1
TCF19,0.1
TACC3,0.1
LOC730268///ANAPC1,0.1
LSM6,0.1
MDC1,0.1
XK,0.1
CKS1B,0.1
LOC101928605///OR2A1-AS1///OR2A9P///OR2A20P,0.1
UNG,0.1
LMNB2,0.1
SHC2,0.1
SSRP1,0.1
DNAAF5,0.1
UBE2S,0.1
C1orf112,0.1
CENPU,0.1
RRM1,0.1
TSEN15,0.1
MND1,0.1
LINC00623,0.1
LGSN,0.1
ROCK2,0.1
SLC19A3,0.1
DNMT3B,0.1
SKAP1,0.1
MKKS,0.1
RASGEF1A,0.1
RBL1,0.1
KIF18A,0.1
NUSAP1,0.1
GINS3,0.1
FOXRED1,0.1
HSP90AB1,0.1
HOXA5,0.1
SUPT16H,0.1
PRTFDC1,0.1
PSMA7,0.1
