Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,DNA metabolic process (GO:0006259),7/277,6.021507581958403e-09,1.2043015163916806e-06,0,0,39.30769230769231,744.0131769247231,NEIL3;ORC1;EXO1;PRIM1;POLE2;CHEK1;MCM10
GO_Biological_Process_2021,DNA replication initiation (GO:0006270),4/38,5.24981516279553e-08,4.052182800410292e-06,0,0,146.66176470588235,2458.4160526165488,ORC1;PRIM1;POLE2;MCM10
GO_Biological_Process_2021,DNA replication (GO:0006260),5/108,6.078274200615437e-08,4.052182800410292e-06,0,0,64.32686084142395,1068.8525426044198,ORC1;EXO1;POLE2;CHEK1;MCM10
GO_Biological_Process_2021,DNA repair (GO:0006281),6/298,3.383017266419952e-07,1.6915086332099757e-05,0,0,28.89628180039139,430.5351706215492,FANCI;NEIL3;EXO1;POLE2;CHEK2;CHEK1
GO_Biological_Process_2021,mitotic chromosome condensation (GO:0007076),3/27,2.463058753808292e-06,9.852235015233168e-05,0,0,146.73529411764707,1894.955227949035,NUSAP1;NCAPD3;NCAPH
GO_Biological_Process_2021,DNA-dependent DNA replication (GO:0006261),4/129,7.386779896982841e-06,0.0002462259965660947,0,0,39.71,469.20615882407617,ORC1;PRIM1;POLE2;MCM10
GO_Biological_Process_2021,cellular macromolecule biosynthetic process (GO:0034645),5/314,1.1803046168971206e-05,0.0002953205534955254,0,0,21.22006472491909,240.78731919152165,ORC1;EXO1;POLE2;CHEK1;MCM10
GO_Biological_Process_2021,chromosome condensation (GO:0030261),3/45,1.1812822139821016e-05,0.0002953205534955254,0,0,83.77310924369748,950.5169232720672,NUSAP1;NCAPD3;NCAPH
GO_Biological_Process_2021,cellular response to DNA damage stimulus (GO:0006974),5/350,1.99190471475368e-05,0.00044173833752386205,0,0,18.971014492753625,205.33911435438213,EXO1;POLE2;CHEK2;CHEK1;MCM10
GO_Biological_Process_2021,negative regulation of mitotic nuclear division (GO:0045839),2/8,2.650430025143172e-05,0.00044173833752386205,0,0,369.8888888888889,3897.964407357134,CHEK1;FBXO5
GO_Biological_Process_2021,DNA damage induced protein phosphorylation (GO:0006975),2/8,2.650430025143172e-05,0.00044173833752386205,0,0,369.8888888888889,3897.964407357134,CHEK2;CHEK1
GO_Biological_Process_2021,regulation of mitotic nuclear division (GO:0007088),3/57,2.417270973182761e-05,0.00044173833752386205,0,0,65.11764705882354,692.2192286932735,CHEK1;NUSAP1;FBXO5
GO_Biological_Process_2021,negative regulation of nuclear division (GO:0051784),2/11,5.196871583395421e-05,0.000799518705137757,0,0,246.55555555555557,2432.238167772633,CHEK1;FBXO5
GO_Biological_Process_2021,replicative senescence (GO:0090399),2/12,6.232515501994467e-05,0.0008903593574277811,0,0,221.88888888888889,2148.58238291385,CHEK2;CHEK1
GO_Biological_Process_2021,mitotic DNA integrity checkpoint signaling (GO:0044774),2/13,7.361293042472065e-05,0.0009815057389962751,0,0,201.7070707070707,1919.5836350009777,ORC1;CHEK2
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),3/102,0.00013783717764729214,0.0017229647205911,0,0,35.43850267379679,315.0283525400414,NUSAP1;NCAPD3;NCAPH
GO_Biological_Process_2021,regulation of cell cycle process (GO:0010564),3/106,0.00015447781314025097,0.0018173860369441,0,0,34.055396916047975,298.85177601622246,PLK4;CHEK1;FBXO5
KEGG_2021_Human,DNA replication,2/36,0.000586430503116779,0.0025411988468393,0,0,65.18300653594771,485.05650058138406,PRIM1;POLE2
KEGG_2021_Human,Base excision repair,2/33,0.0004923687563769557,0.0025411988468393,0,0,71.50179211469533,544.5778563946176,NEIL3;POLE2
KEGG_2021_Human,Cell cycle,3/124,0.0002454944793371601,0.0025411988468393,0,0,28.96305298979096,240.7477345818312,ORC1;CHEK2;CHEK1
GO_Biological_Process_2021,CENP-A containing chromatin organization (GO:0061641),2/30,0.00040637445946356223,0.0041857827925051,0,0,79.17460317460318,618.2139479571657,CENPN;OIP5
GO_Biological_Process_2021,CENP-A containing nucleosome assembly (GO:0034080),2/30,0.00040637445946356223,0.0041857827925051,0,0,79.17460317460318,618.2139479571657,CENPN;OIP5
GO_Biological_Process_2021,chromatin remodeling at centromere (GO:0031055),2/32,0.0004628054168177868,0.0041857827925051,0,0,73.88888888888889,567.3339517497183,CENPN;OIP5
GO_Biological_Process_2021,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),2/32,0.0004628054168177868,0.0041857827925051,0,0,73.88888888888889,567.3339517497183,ORC1;FBXO5
GO_Biological_Process_2021,DNA damage checkpoint signaling (GO:0000077),2/32,0.0004628054168177868,0.0041857827925051,0,0,73.88888888888889,567.3339517497183,CHEK2;CHEK1
GO_Biological_Process_2021,regulation of signal transduction by p53 class mediator (GO:1901796),3/156,0.000481365021138088,0.0041857827925051,0,0,22.868512110726645,174.68992718194062,EXO1;CHEK2;CHEK1
GO_Biological_Process_2021,centromere complex assembly (GO:0034508),2/37,0.0006195695304718364,0.0051001143647627,0,0,63.31746031746032,467.69351055771176,CENPN;OIP5
GO_Biological_Process_2021,histone exchange (GO:0043486),2/38,0.0006535983868982156,0.0051001143647627,0,0,61.55555555555556,451.387965030658,CENPN;OIP5
GO_Biological_Process_2021,DNA replication-independent nucleosome assembly (GO:0006336),2/39,0.0006885154392429702,0.0051001143647627,0,0,59.888888888888886,436.0493719555131,CENPN;OIP5
GO_Biological_Process_2021,DNA integrity checkpoint signaling (GO:0031570),2/39,0.0006885154392429702,0.0051001143647627,0,0,59.888888888888886,436.0493719555131,CHEK2;CHEK1
GO_Biological_Process_2021,mitotic G2/M transition checkpoint (GO:0044818),2/45,0.0009165786855226654,0.0065469906108761,0,0,51.51679586563308,360.3529107334306,ORC1;CHEK1
