Model,Subgroup,N,Accuracy,ROC_AUC,ROC_AUC_95_CI,Interaction_p_value,Interaction_95_CI
Logistic Regression,All,165,0.9030303030303031,0.9850132236262122,(0.9711-0.9948),-,-
Logistic Regression,Age < 65,39,0.8205128205128205,0.9510869565217391,(0.8757-1.0000),0.2050,(-0.1205 to 0.0096)
Logistic Regression,Age >= 65,126,0.9285714285714286,0.9911459650898052,(0.9805-0.9985),0.2050,(-0.1205 to 0.0096)
Logistic Regression,Male,62,0.8870967741935484,0.9777777777777777,(0.9390-1.0000),0.5980,(-0.0446 to 0.0198)
Logistic Regression,Female,103,0.912621359223301,0.9864864864864865,(0.9676-0.9972),0.5980,(-0.0446 to 0.0198)
Logistic Regression,Stage I/II,57,0.8947368421052632,0.9857549857549858,(0.9540-1.0000),0.2690,(-0.0203 to 0.0798)
Logistic Regression,Stage III/IV,57,0.8596491228070176,0.9602941176470589,(0.8888-0.9917),0.2690,(-0.0203 to 0.0798)
Random Forest,All,165,0.9272727272727272,0.9870702321481046,(0.9737-0.9957),-,-
Random Forest,Age < 65,39,0.8461538461538461,0.9646739130434783,(0.9105-1.0000),0.2640,(-0.0933 to 0.0097)
Random Forest,Age >= 65,126,0.9523809523809523,0.9921578547938275,(0.9818-0.9989),0.2640,(-0.0933 to 0.0097)
Random Forest,Male,62,0.9354838709677419,0.9830065359477125,(0.9497-1.0000),0.7690,(-0.0390 to 0.0224)
Random Forest,Female,103,0.9223300970873787,0.9868959868959869,(0.9646-0.9976),0.7690,(-0.0390 to 0.0224)
Random Forest,Stage I/II,57,0.9473684210526315,0.9857549857549858,(0.9571-1.0000),0.2560,(-0.0166 to 0.0813)
Random Forest,Stage III/IV,57,0.8596491228070176,0.9573529411764705,(0.8796-0.9927),0.2560,(-0.0166 to 0.0813)
XGBoost,All,165,0.9272727272727272,0.9910373200117543,(0.9813-0.9979),-,-
XGBoost,Age < 65,39,0.8974358974358975,0.9755434782608695,(0.9314-1.0000),0.3400,(-0.0727 to 0.0082)
XGBoost,Age >= 65,126,0.9365079365079365,0.9944346066278775,(0.9879-0.9995),0.3400,(-0.0727 to 0.0082)
XGBoost,Male,62,0.8870967741935484,0.984313725490196,(0.9559-1.0000),0.5600,(-0.0364 to 0.0161)
XGBoost,Female,103,0.9514563106796117,0.9914004914004915,(0.9752-0.9986),0.5600,(-0.0364 to 0.0161)
XGBoost,Stage I/II,57,0.9122807017543859,0.9914529914529915,(0.9681-1.0000),0.2800,(-0.0118 to 0.0607)
XGBoost,Stage III/IV,57,0.8947368421052632,0.9720588235294118,(0.9296-0.9943),0.2800,(-0.0118 to 0.0607)
Neural Network (MLP),All,165,0.896969696969697,0.9811930649426976,(0.9644-0.9938),-,-
Neural Network (MLP),Age < 65,39,0.8717948717948718,0.9429347826086957,(0.8631-1.0000),0.2200,(-0.1338 to 0.0137)
Neural Network (MLP),Age >= 65,126,0.9047619047619048,0.9878573235517328,(0.9777-0.9972),0.2200,(-0.1338 to 0.0137)
Neural Network (MLP),Male,62,0.8870967741935484,0.9699346405228758,(0.9293-0.9950),0.4990,(-0.0564 to 0.0227)
Neural Network (MLP),Female,103,0.9029126213592233,0.9836199836199836,(0.9592-0.9964),0.4990,(-0.0564 to 0.0227)
Neural Network (MLP),Stage I/II,57,0.8771929824561403,0.9772079772079773,(0.9364-0.9988),0.3320,(-0.0310 to 0.0893)
Neural Network (MLP),Stage III/IV,57,0.8421052631578947,0.95,(0.8771-0.9882),0.3320,(-0.0310 to 0.0893)
